92,'GU2/3','GU/Isocortex/CTXpl/CTX/CH/grey/root/'
93,'RE','MTN/DORpm/TH/IB/BS/grey/root/'
94,'LH','EPI/DORpm/TH/IB/BS/grey/root/'
95,'GU5','GU/Isocortex/CTXpl/CTX/CH/grey/root/'
96,'AOBgl','AOB/OLF/CTXpl/CTX/CH/grey/root/'
97,'RH','ILM/DORpm/TH/IB/BS/grey/root/'
98,'py','cst/lfbs/fiber tracts/root/'
99,'LHA','LZ/HY/IB/BS/grey/root/'
100,'AOBgr','AOB/OLF/CTXpl/CTX/CH/grey/root/'
101,'RL','RAmb/MBsta/MB/BS/grey/root/'
102,'pyd','cst/lfbs/fiber tracts/root/'
103,'SSp-bfd2/3','SSp-bfd/SSp/SS/Isocortex/CTXpl/CTX/CH/grey/root/'
104,'MV','VNC/MY-mot/MY/HB/BS/grey/root/'
105,'LIN','MY-mot/MY/HB/BS/grey/root/'
106,'AOBmi','AOB/OLF/CTXpl/CTX/CH/grey/root/'
107,'RM','MY-sat/MY/HB/BS/grey/root/'
108,'AP','MY-sen/MY/HB/BS/grey/root/'
109,'LAV','VNC/MY-mot/MY/HB/BS/grey/root/'
110,'LM','MBO/MEZ/HY/IB/BS/grey/root/'
111,'ACAd2/3','ACAd/ACA/Isocortex/CTXpl/CTX/CH/grey/root/'
112,'RN','MBmot/MB/BS/grey/root/'
113,'APN','PRT/MBmot/MB/BS/grey/root/'
114,'SUV','VNC/MY-mot/MY/HB/BS/grey/root/'
115,'LP','LAT/DORpm/TH/IB/BS/grey/root/'
116,'RO','MY-sat/MY/HB/BS/grey/root/'
117,'ARH','PVZ/HY/IB/BS/grey/root/'
118,'SPIV','VNC/MY-mot/MY/HB/BS/grey/root/'
119,'LPO','LZ/HY/IB/BS/grey/root/'
120,'sV','Vn/cm/fiber tracts/root/'
121,'RPA','MY-sat/MY/HB/BS/grey/root/'
122,'AT','MBmot/MB/BS/grey/root/'
123,'VISal5','VISal/VIS/Isocortex/CTXpl/CTX/CH/grey/root/'
124,'TEa4','TEa/Isocortex/CTXpl/CTX/CH/grey/root/'
125,'ts','Xn/cm/fiber tracts/root/'
126,'RPO','P-sat/P/HB/BS/grey/root/'
127,'AUDd6b','AUDd/AUD/Isocortex/CTXpl/CTX/CH/grey/root/'
128,'RR','MBmot/MB/BS/grey/root/'
129,'AUDpo6a','AUDpo/AUD/Isocortex/CTXpl/CTX/CH/grey/root/'
130,'LSc','LS/LSX/STR/CNU/CH/grey/root/'
131,'AUDp2/3','AUDp/AUD/Isocortex/CTXpl/CTX/CH/grey/root/'
132,'AUDd5','AUDd/AUD/Isocortex/CTXpl/CTX/CH/grey/root/'
133,'AV','ATN/DORpm/TH/IB/BS/grey/root/'
134,'VISpm6a','VISpm/VIS/Isocortex/CTXpl/CTX/CH/grey/root/'
135,'LSr','LS/LSX/STR/CNU/CH/grey/root/'
136,'NLOT1','NLOT/OLF/CTXpl/CTX/CH/grey/root/'
137,'RT','DORpm/TH/IB/BS/grey/root/'
138,'AVP','PVR/HY/IB/BS/grey/root/'
139,'LSv','LS/LSX/STR/CNU/CH/grey/root/'
140,'NLOT2','NLOT/OLF/CTXpl/CTX/CH/grey/root/'
141,'VISpl2/3','VISpl/VIS/Isocortex/CTXpl/CTX/CH/grey/root/'
142,'SAG','MBsen/MB/BS/grey/root/'
143,'AVPV','PVR/HY/IB/BS/grey/root/'
144,'RSPd6a','RSPd/RSP/Isocortex/CTXpl/CTX/CH/grey/root/'
145,'RSPagl6b','RSPagl/RSP/Isocortex/CTXpl/CTX/CH/grey/root/'
146,'B','P-mot/P/HB/BS/grey/root/'
147,'VISam1','VISam/VIS/Isocortex/CTXpl/CTX/CH/grey/root/'
148,'SCH','PVR/HY/IB/BS/grey/root/'
149,'BAC','PALc/PAL/CNU/CH/grey/root/'
150,'ORBvl2/3','ORBvl/ORB/Isocortex/CTXpl/CTX/CH/grey/root/'
151,'TEa5','TEa/Isocortex/CTXpl/CTX/CH/grey/root/'
152,'BA','sAMY/STR/CNU/CH/grey/root/'
153,'ACAv2/3','ACAv/ACA/Isocortex/CTXpl/CTX/CH/grey/root/'
154,'MA','PALv/PAL/CNU/CH/grey/root/'
155,'st','mfbc/mfbs/fiber tracts/root/'
156,'BLAa','BLA/CTXsp/CTX/CH/grey/root/'
157,'PL2/3','PL/Isocortex/CTXpl/CTX/CH/grey/root/'
158,'VISp6b','VISp/VIS/Isocortex/CTXpl/CTX/CH/grey/root/'
159,'MARN','MY-mot/MY/HB/BS/grey/root/'
160,'SF','LSX/STR/CNU/CH/grey/root/'
161,'BLAp','BLA/CTXsp/CTX/CH/grey/root/'
162,'MB','BS/grey/root/'
163,'AIp6a','AIp/AI/Isocortex/CTXpl/CTX/CH/grey/root/'
164,'SG','P-mot/P/HB/BS/grey/root/'
165,'MOp1','MOp/MO/Isocortex/CTXpl/CTX/CH/grey/root/'
166,'SubG','GENv/DORpm/TH/IB/BS/grey/root/'
167,'SGN','LAT/DORpm/TH/IB/BS/grey/root/'
168,'scp','cbp/cbf/fiber tracts/root/'
169,'BMAa','BMA/CTXsp/CTX/CH/grey/root/'
170,'AId2/3','AId/AI/Isocortex/CTXpl/CTX/CH/grey/root/'
171,'RSPd6b','RSPd/RSP/Isocortex/CTXpl/CTX/CH/grey/root/'
172,'ASO','PVZ/HY/IB/BS/grey/root/'
173,'SH','LSX/STR/CNU/CH/grey/root/'
174,'BMAp','BMA/CTXsp/CTX/CH/grey/root/'
175,'PERI6a','PERI/Isocortex/CTXpl/CTX/CH/grey/root/'
176,'csc','IIn/cm/fiber tracts/root/'
177,'SFO','PVR/HY/IB/BS/grey/root/'
178,'SI','PALv/PAL/CNU/CH/grey/root/'
179,'AIp5','AIp/AI/Isocortex/CTXpl/CTX/CH/grey/root/'
180,'SBPV','PVR/HY/IB/BS/grey/root/'
181,'sup','mfsbshy/mfbs/fiber tracts/root/'
182,'SLC','P-sat/P/HB/BS/grey/root/'
183,'BST','PALc/PAL/CNU/CH/grey/root/'
184,'MY','HB/BS/grey/root/'
185,'AIp6b','AIp/AI/Isocortex/CTXpl/CTX/CH/grey/root/'
186,'PST','LZ/HY/IB/BS/grey/root/'
187,'SLD','P-sat/P/HB/BS/grey/root/'
188,'MD','MED/DORpm/TH/IB/BS/grey/root/'
189,'PL5','PL/Isocortex/CTXpl/CTX/CH/grey/root/'
190,'PSTN','LZ/HY/IB/BS/grey/root/'
191,'SMT','MED/DORpm/TH/IB/BS/grey/root/'
192,'PERI6b','PERI/Isocortex/CTXpl/CTX/CH/grey/root/'
193,'ICB','MY-mot/MY/HB/BS/grey/root/'
194,'SNc','MBsta/MB/BS/grey/root/'
